Pregunta,Opción_A,Opción_B,Opción_C,Opción_D,Respuesta_Correcta
"¿En qué fecha se declaró la independencia de Colombia?","20 de julio de 1810","7 de agosto de 1819","12 de octubre de 1492","5 de julio de 1811","A"
"¿Cuál fue el nombre del virrey depuesto durante el grito de independencia?","Antonio Amar y Borbón","Pablo Morillo","José de Iturrigaray","Francisco de Paula Santander","A"
"¿Qué suceso se conoce como el 'Florero de Llorente'?","Un conflicto que desencadenó el grito de independencia","Un regalo diplomático de España","La firma de un tratado de paz","La inauguración de un monumento","A"
"¿Quién fue el principal líder del movimiento independentista en Colombia?","Simón Bolívar","Miguel Hidalgo","José de San Martín","Bernardo O'Higgins","A"
"¿Qué país europeo dominaba Colombia antes de su independencia?","España","Portugal","Francia","Inglaterra","A"
"¿Cuál fue el documento que declaró formalmente la independencia?","Acta de la Revolución","Declaración de Independencia","Acta de Independencia","Carta Magna","C"
"¿En qué ciudad colombiana se dio el grito de independencia?","Bogotá","Cartagena","Tunja","Santa Fe","A"
"¿Qué papel jugó Camilo Torres en la independencia?","Redactó el 'Memorial de Agravios'","Lideró tropas en batalla","Fue virrey español","Ninguno, era artista","A"
"¿Cuál fue la primera república que se formó después de la independencia?","Gran Colombia","Nueva Granada","Estados Unidos de Colombia","Federación Colombiana","A"
"¿Qué ejército enfrentaron los independentistas colombianos?","Realista","Napoleónico","Azteca","Inca","A"
"¿Qué país no formó parte de la Gran Colombia?","Perú","Venezuela","Ecuador","Panamá","A"
"¿Quién fue nombrado presidente de la Gran Colombia?","Simón Bolívar","Antonio Nariño","Francisco de Miranda","José María Córdova","A"
"¿Cuál fue la principal causa económica de la independencia?","Impuestos excesivos","Escasez de oro","Crisis agrícola","Inflación","A"
"¿Qué influencia externa motivó la independencia?","La Revolución Francesa","La Guerra de Secesión","La Revolución Industrial","La Unificación Italiana","A"
"¿Qué papel tuvo la Ilustración en la independencia?","Inspiró ideas de libertad","Prohibió la educación","Fortaleció el absolutismo","Impulsó la monarquía","A"
"¿Cuál de estos no fue un prócer de la independencia colombiana?","Napoleón Bonaparte","Antonio Nariño","Policarpa Salavarrieta","José María Carbonell","A"
"¿Qué documento tradujo Antonio Nariño al español, difundiendo ideas revolucionarias?","Los Derechos del Hombre","El Contrato Social","La Biblia","La Constitución de Cádiz","A"
"¿Qué significó el 'Memorial de Agravios'?","Una queja formal contra las políticas españolas","Un tratado de paz","Una alianza militar","Un acuerdo comercial","A"
"¿Cuál fue el resultado de la Batalla de Boyacá para la independencia?","Aseguró la victoria independentista","Fue una derrota significativa","No tuvo impacto","Provocó una tregua","A"
"¿En qué año se consolidó la independencia de Colombia?","1819","1810","1821","1824","C"
"¿Qué movimiento indígena influyó en la independencia?","Los Comuneros","Los Mapuches","Los Aztecas","Los Mayas","A"
"¿Quién fue conocido como el 'Precursor de la Independencia'?","Antonio Nariño","Simón Bolívar","Francisco de Miranda","Camilo Torres","A"
"¿Qué país apoyó a Colombia en su lucha por la independencia?","Inglaterra","Estados Unidos","Francia","Portugal","A"
"¿Qué rey español estaba en el poder durante el inicio de la independencia?","Fernando VII","Carlos III","Felipe V","Alfonso XIII","A"
