Pregunta,Opción_A,Opción_B,Opción_C,Opción_D,Respuesta_Correcta
"¿Cuándo inició la Guerra de los Mil Días?","1899","1902","1886","1910","A"
"¿Cuánto duró la Guerra de los Mil Días?","3 años","1 año","1000 días exactos","5 años","A"
"¿Qué partidos políticos se enfrentaron en la guerra?","Liberales y Conservadores","Socialistas y Comunistas","Demócratas y Republicanos","Verdes y Unión Patriótica","A"
"¿Cuál fue una de las principales causas de la guerra?","Disputas políticas y económicas","Invasión extranjera","Conflictos religiosos","Crisis ambiental","A"
"¿En qué país ocurrió la Guerra de los Mil Días?","Colombia","Venezuela","Perú","México","A"
"¿Qué tratado puso fin a la Guerra de los Mil Días?","Tratado de Neerlandia","Tratado de Versalles","Tratado de París","Tratado de Tlatelolco","A"
"¿Qué territorio perdió Colombia tras la guerra?","Panamá","Ecuador","Venezuela","Brasil","A"
"¿Quién fue presidente de Colombia durante gran parte de la guerra?","Manuel Antonio Sanclemente","Rafael Núñez","José Manuel Marroquín","Rafael Reyes","A"
"¿Qué impacto tuvo la guerra en la economía colombiana?","Profunda crisis económica","Crecimiento sostenido","Estabilidad financiera","No tuvo impacto","A"
"¿Qué país intervino indirectamente en la separación de Panamá?","Estados Unidos","Francia","Inglaterra","España","A"
"¿Qué grupo armado se destacó en la Guerra de los Mil Días?","Guerrillas liberales","FARC","M-19","Paramilitares","A"
"¿Qué influencia externa afectó el desarrollo de la guerra?","Intereses estadounidenses en el Canal de Panamá","Revolución Rusa","Guerra Civil Española","Primera Guerra Mundial","A"
"¿Cuál fue una consecuencia social de la guerra?","Desplazamiento masivo de población","Aumento de la natalidad","Mejora en educación","Crecimiento urbano","A"
"¿Qué estrategia militar usaron los liberales?","Guerra de guerrillas","Batallas navales","Bombardeos aéreos","Ataques químicos","A"
"¿Qué región fue escenario principal de la guerra?","Los Andes y la Costa Caribe","La Amazonía","El Pacífico","La Orinoquía","A"
"¿Cómo afectó la guerra al campesinado?","Empobrecimiento y violencia","Prosperidad agrícola","Alianzas políticas","No les afectó","A"
"¿Qué papel jugó Rafael Uribe Uribe en la guerra?","Líder liberal y militar destacado","Presidente conservador","Mediador de paz","No participó","A"
"¿Qué suceso internacional coincidió con el final de la guerra?","Separación de Panamá","Inicio de la Primera Guerra Mundial","Revolución Mexicana","Guerra Hispano-Estadounidense","A"
"¿Cómo se financió la guerra?","Endeudamiento y emisión de papel moneda","Inversión extranjera","Exportación de café","Donaciones internacionales","A"
