Pregunta,Opción_A,Opción_B,Opción_C,Opción_D,Respuesta_Correcta
"¿En qué fecha ocurrió la Batalla de Boyacá?","7 de agosto de 1819","20 de julio de 1810","5 de julio de 1821","9 de diciembre de 1824","A"
"¿Quién lideró las fuerzas independentistas en la Batalla de Boyacá?","Simón Bolívar","José de San Martín","Antonio Nariño","Francisco de Miranda","A"
"¿Qué río fue crucial en la estrategia de la Batalla de Boyacá?","Río Teatinos","Río Magdalena","Río Orinoco","Río Cauca","A"
"¿Cuál fue el resultado de la Batalla de Boyacá?","Victoria decisiva para los independentistas","Derrota de Bolívar","Estancamiento militar","Alianza con España","A"
"¿Qué general español fue capturado en la Batalla de Boyacá?","José María Barreiro","Pablo Morillo","Juan Sámano","Miguel de la Torre","A"
"¿Dónde se ubica el Puente de Boyacá?","Cerca de Tunja","En Bogotá","En Medellín","En Cartagena","A"
"¿Qué evento precedió a la Batalla de Boyacá?","Paso del Páramo de Pisba","Batalla de Ayacucho","Grito de Dolores","Batalla de Junín","A"
"¿Cuál fue la importancia estratégica de la Batalla de Boyacá?","Aseguró la ruta hacia Bogotá","Control del Caribe","Dominio de los Andes","Ninguna importancia","A"
"¿Qué país no participó en la Batalla de Boyacá?","Chile","Venezuela","Colombia","España","A"
"¿Quién fue el segundo al mando de Bolívar en la batalla?","Francisco de Paula Santander","Antonio José de Sucre","José Antonio Páez","Manuel Piar","A"
"¿Qué táctica usaron las fuerzas de Bolívar en Boyacá?","Ataque sorpresa","Defensa pasiva","Retirada estratégica","Guerra de trincheras","A"
"¿Qué repercusión tuvo la batalla en la independencia sudamericana?","Impulsó otras campañas liberadoras","No tuvo efecto","Provocó intervención británica","Fortaleció a España","A"
"¿Qué se celebra en Colombia el 7 de agosto?","Día de la Batalla de Boyacá","Día de la Independencia","Día del Trabajo","Día de la Raza","A"
"¿Cuál fue el principal objetivo de Bolívar al librar esta batalla?","Liberar Bogotá del control español","Firmar un tratado de paz","Conquistar Ecuador","Defender Venezuela","A"
"¿Qué papel jugaron los llaneros en la batalla?","Fueron tropas clave","No participaron","Aliados de España","Eran observadores","A"
"¿Cómo afectó la batalla al virreinato de Nueva Granada?","Marcó su fin","Lo fortaleció","No lo afectó","Creó un nuevo virreinato","A"
"¿Qué unidad militar se destacó por su valentía en Boyacá?","Batallón de Voltígeros","Regimiento de Dragones","Infantería Real","Marina Real","A"
"¿Qué influencia tuvo la Batalla de Boyacá en la liberación de Venezuela?","Facilitó campañas posteriores","La retrasó","No tuvo relación","La impidió","A"
"¿Qué oficial irlandés participó en la batalla apoyando a Bolívar?","James Rooke","Daniel O'Connell","Thomas Charles Wright","William Brown","A"
"¿Qué sucedió con José María Barreiro tras la batalla?","Fue capturado y ejecutado","Escapó a España","Se unió a los patriotas","Murió en combate","A"
"¿Qué símbolo se encuentra en el lugar de la batalla actualmente?","Un monumento conmemorativo","Un centro comercial","Una base militar","Nada en especial","A"
"¿Qué papel tuvo el Coronel Rondón en la batalla?","Lideró una carga decisiva","Fue un traidor","No participó","Era un oficial español","A"
"¿Cómo se llamó la campaña que incluyó la Batalla de Boyacá?","Campaña Libertadora de Nueva Granada","Campaña del Sur","Campaña Admirable","Campaña de los Andes","A"
"¿Qué factor climático afectó a las tropas antes de la batalla?","Frío extremo en el páramo","Tormentas tropicales","Sequía prolongada","Calor intenso","A"
